measurement_id,nb_of_sample,label_name,label_category,label_contamination_present
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-01.859.txt,10,Empty,Reference measurement,False
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-01.972.txt,10,Empty,Reference measurement,False
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-02.049.txt,10,Empty,Reference measurement,False
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-02.141.txt,10,Empty,Reference measurement,False
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-02.222.txt,10,Empty,Reference measurement,False
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-02.301.txt,10,Empty,Reference measurement,False
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-02.378.txt,10,Empty,Reference measurement,False
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-02.455.txt,10,Empty,Reference measurement,False
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-02.537.txt,10,Empty,Reference measurement,False
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-02.615.txt,10,Empty,Reference measurement,False
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-02.695.txt,10,Empty,Reference measurement,False
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-02.781.txt,10,Empty,Reference measurement,False
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-02.862.txt,10,Empty,Reference measurement,False
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-02.943.txt,10,Empty,Reference measurement,False
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-03.022.txt,10,Empty,Reference measurement,False
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-03.149.txt,10,Empty,Reference measurement,False
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-03.240.txt,10,Empty,Reference measurement,False
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-03.327.txt,10,Empty,Reference measurement,False
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-03.425.txt,10,Empty,Reference measurement,False
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-03.510.txt,10,Empty,Reference measurement,False
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-03.598.txt,10,Empty,Reference measurement,False
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-03.679.txt,10,Empty,Reference measurement,False
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-03.764.txt,10,Empty,Reference measurement,False
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-03.851.txt,10,Empty,Reference measurement,False
2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-03.929.txt,10,Empty,Reference measurement,False
