filename,exif_dt,nearest_measurement_id,nearest_nb_of_sample,nearest_label_category,nearest_label_name,time_diff_sec,within_tolerance
20260423_131511.jpg,2026-04-23T13:15:11,2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-17.613.txt,10,Reference measurement,Empty,54.0,True
20260423_131519.jpg,2026-04-23T13:15:19,2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-17.613.txt,10,Reference measurement,Empty,62.0,True
20260423_131522.jpg,2026-04-23T13:15:22,2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-17.613.txt,10,Reference measurement,Empty,65.0,True
20260423_131529.jpg,2026-04-23T13:15:30,2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-17.613.txt,10,Reference measurement,Empty,73.0,True
20260423_131532.jpg,2026-04-23T13:15:32,2026-04-23_13-14-01.859/FD/10_2026-04-23_13-14-17.613.txt,10,Reference measurement,Empty,75.0,True
20260423_131910.jpg,2026-04-23T13:19:11,2026-04-23_13-21-01.064/FD/20_2026-04-23_13-21-01.992.txt,20,Reference measurement,1/3 of plastic,110.0,True
20260423_131915.jpg,2026-04-23T13:19:15,2026-04-23_13-21-01.064/FD/20_2026-04-23_13-21-01.992.txt,20,Reference measurement,1/3 of plastic,106.0,True
20260423_132128.jpg,2026-04-23T13:21:29,2026-04-23_13-21-01.064/FD/20_2026-04-23_13-21-15.004.txt,20,Reference measurement,1/3 of plastic,14.0,True
20260423_132212.jpg,2026-04-23T13:22:12,2026-04-23_13-21-01.064/FD/20_2026-04-23_13-21-15.004.txt,20,Reference measurement,1/3 of plastic,57.0,True
20260423_132407.jpg,2026-04-23T13:24:07,2026-04-23_13-25-36.428/FD/50_2026-04-23_13-25-36.864.txt,50,Plastic + wooden objects,1/3 of plastic + wood objects,89.0,True
20260423_132518.jpg,2026-04-23T13:25:19,2026-04-23_13-25-36.428/FD/50_2026-04-23_13-25-36.864.txt,50,Plastic + wooden objects,1/3 of plastic + wood objects,17.0,True
20260423_132520.jpg,2026-04-23T13:25:20,2026-04-23_13-25-36.428/FD/50_2026-04-23_13-25-36.864.txt,50,Plastic + wooden objects,1/3 of plastic + wood objects,16.0,True
20260423_132523.jpg,2026-04-23T13:25:23,2026-04-23_13-25-36.428/FD/50_2026-04-23_13-25-36.864.txt,50,Plastic + wooden objects,1/3 of plastic + wood objects,13.0,True
20260423_132747.jpg,2026-04-23T13:27:48,2026-04-23_13-25-36.428/FD/50_2026-04-23_13-25-53.069.txt,50,Plastic + wooden objects,1/3 of plastic + wood objects,115.0,True
20260423_132749.jpg,2026-04-23T13:27:49,2026-04-23_13-25-36.428/FD/50_2026-04-23_13-25-53.069.txt,50,Plastic + wooden objects,1/3 of plastic + wood objects,116.0,True
20260423_132751.jpg,2026-04-23T13:27:51,2026-04-23_13-25-36.428/FD/50_2026-04-23_13-25-53.069.txt,50,Plastic + wooden objects,1/3 of plastic + wood objects,118.0,True
20260423_133102.jpg,2026-04-23T13:31:03,2026-04-23_13-30-11.154/FD/80_2026-04-23_13-30-26.488.txt,80,Plastic + paper waste,1/3 of plastic + dry paper,37.0,True
